Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory;;;
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory;;;
1;3;13;1;284,0931;231;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;1002671;;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;;;;1;;;;;
1;3;13;1;282,5679;230;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;1002672;;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;;;;1;;;;;
1;3;13;1;142,8399;116;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;1002674;;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;;;;1;;;;;
1;3;13;1;405,2112;329;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;1002676;;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;;;;1;;;;;
1;3;13;1;423,8211;345;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;1002677;;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;;;;1;;;;;
1;3;13;1;142,8399;116;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;1002684;;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;;;;1;;;;;
1;3;13;1;566,661;461;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;1002686;;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;;;;1;;;;;
1;3;13;1;700,1775;569;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;1002687;;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;;;;1;;;;;
1;3;13;1;147,477;120;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;1002689;;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;;;;1;;;;;
1;3;13;1;273,2322;222;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;1002715;;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;;;;1;;;;;
1;3;13;1;372,6039;303;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;1002716;;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;;;;1;;;;;
1;3;13;1;149,0391;121;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;1002719;;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;;;;1;;;;;
1;3;13;1;121,0935;98;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;1002720;;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;;;;1;;;;;
1;3;13;1;107,1207;87;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;1002722;;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;;;;1;;;;;
1;3;13;1;116,4441;95;PNC XFMRBNCF TO XLRMS HORT PROFILE PANEL MT ONL;1002723;;PNC XFMRBNCF TO XLRMS HORT PROFILE PANEL MT ONL;PNC XFMRBNCF TO XLRMS HORT PROFILE PANEL MT ONL;PNC XFMRBNCF TO XLRMS HORT PROFILE PANEL MT ONL;PNC XFMRBNCF TO XLRMS HORT PROFILE PANEL MT ONL;;;;1;;;;;
1;3;13;1;780,9024;635;PRISMA DS3/E3/STS1BNC/F XMM1300SP2KM;1002856;;PRISMA DS3/E3/STS1BNC/F XMM1300SP2KM;PRISMA DS3/E3/STS1BNC/F XMM1300SP2KM;PRISMA DS3/E3/STS1BNC/F XMM1300SP2KM;PRISMA DS3/E3/STS1BNC/F XMM1300SP2KM;;;;1;;;;;
1;3;13;1;900,4461;732;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC40KM;1002858;;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC40KM;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC40KM;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC40KM;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC40KM;;;;1;;;;;
1;3;13;1;1125,5484;915;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC80KM;1002859;;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC80KM;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC80KM;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC80KM;PRISMA DS3/E3/STS1BNC/F X1310SC/UPC80KM;;;;1;;;;;
1;3;13;1;1763,6355;1434;PRISMA DS3/E3/STS1BNC/F X1550SC/UPC80KM;1002861;;PRISMA DS3/E3/STS1BNC/F X1550SC/UPC80KM;PRISMA DS3/E3/STS1BNC/F X1550SC/UPC80KM;PRISMA DS3/E3/STS1BNC/F X1550SC/UPC80KM;PRISMA DS3/E3/STS1BNC/F X1550SC/UPC80KM;;;;1;;;;;
1;3;13;1;923,7423;751;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC2;1002862;;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC2;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC2;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC2;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC2;;;;1;;;;;
1;3;13;1;959,4246;780;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC2;1002863;;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC2;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC2;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC2;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC2;;;;1;;;;;
1;3;13;1;1172,1408;953;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC4;1002864;;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC4;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC4;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC4;PRISMA DS3/E3/STS1BNC/S S1310TX/1550RXSC/UPC4;;;;1;;;;;
1;3;13;1;1538,5209;1251;PRISMA T1/E1/J11550SC/U PC80KM;1002867;;PRISMA T1/E1/J11550SC/U PC80KM;PRISMA T1/E1/J11550SC/U PC80KM;PRISMA T1/E1/J11550SC/U PC80KM;PRISMA T1/E1/J11550SC/U PC80KM;;;;1;;;;;
1;3;13;1;757,6185;616;PRISMA T1/E1/J11310SC/U PC80KM;1002868;;PRISMA T1/E1/J11310SC/U PC80KM;PRISMA T1/E1/J11310SC/U PC80KM;PRISMA T1/E1/J11310SC/U PC80KM;PRISMA T1/E1/J11310SC/U PC80KM;;;;1;;;;;
1;3;13;1;711,0384;578;PRISMA T1/E1/J11310SC/U PC40KM;1002869;;PRISMA T1/E1/J11310SC/U PC40KM;PRISMA T1/E1/J11310SC/U PC40KM;PRISMA T1/E1/J11310SC/U PC40KM;PRISMA T1/E1/J11310SC/U PC40KM;;;;1;;;;;
1;3;13;1;591,4947;481;PRISMA T1/E1/J1MM1300SC /UPC2KM;1002870;;PRISMA T1/E1/J1MM1300SC /UPC2KM;PRISMA T1/E1/J1MM1300SC /UPC2KM;PRISMA T1/E1/J1MM1300SC /UPC2KM;PRISMA T1/E1/J1MM1300SC /UPC2KM;;;;1;;;;;
1;3;13;1;1290,1347;1049;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC4;1002871;;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC4;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC4;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC4;PRISMA DS3/E3/STS1BNC/S S1550TX/1310RXSC/UPC4;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1430SC/UPC80KM;1002925;;GBIT FIBERLINXII10/100/ 1000CWDM1430SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1430SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1430SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1430SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1450SC/UPC80KM;1002926;;GBIT FIBERLINXII10/100/ 1000CWDM1450SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1450SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1450SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1450SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1470SC/UPC80KM;1002927;;GBIT FIBERLINXII10/100/ 1000CWDM1470SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1470SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1470SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1470SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1490SC/UPC80KM;1002928;;GBIT FIBERLINXII10/100/ 1000CWDM1490SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1490SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1490SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1490SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1510SC/UPC80KM;1002929;;GBIT FIBERLINXII10/100/ 1000CWDM1510SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1510SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1510SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1510SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1530SC/UPC80KM;1002930;;GBIT FIBERLINXII10/100/ 1000CWDM1530SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1530SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1530SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1530SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1550SC/UPC80KM;1002931;;GBIT FIBERLINXII10/100/ 1000CWDM1550SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1550SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1550SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1550SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1570SC/UPC80KM;1002932;;GBIT FIBERLINXII10/100/ 1000CWDM1570SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1570SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1570SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1570SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1590SC/UPC80KM;1002933;;GBIT FIBERLINXII10/100/ 1000CWDM1590SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1590SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1590SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1590SC/UPC80KM;;;;1;;;;;
1;3;13;1;2761,8912;2245;GBIT FIBERLINXII10/100/ 1000CWDM1610SC/UPC80KM;1002934;;GBIT FIBERLINXII10/100/ 1000CWDM1610SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1610SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1610SC/UPC80KM;GBIT FIBERLINXII10/100/ 1000CWDM1610SC/UPC80KM;;;;1;;;;;
1;3;13;1;195,6192;159;SFP 850NM1.25GBPSSR300;1003270;;SFP 850NM1.25GBPSSR300;SFP 850NM1.25GBPSSR300;SFP 850NM1.25GBPSSR300;SFP 850NM1.25GBPSSR300;;;;1;;;;;
1;3;13;1;23850,93;19391;PWR CORD2 COND2.5A250V INDIA;1003667;;PWR CORD2 COND2.5A250V INDIA;PWR CORD2 COND2.5A250V INDIA;PWR CORD2 COND2.5A250V INDIA;PWR CORD2 COND2.5A250V INDIA;;;;1;;;;;
1;3;13;1;175,4226;143;2ND EXTERNAL AC P/S 1U 2U FRAME LEITCH P-1RU-PSO;1004083;;2ND EXTERNAL AC P/S 1U 2U FRAME LEITCH P-1RU-PSO;2ND EXTERNAL AC P/S 1U 2U FRAME LEITCH P-1RU-PSO;2ND EXTERNAL AC P/S 1U 2U FRAME LEITCH P-1RU-PSO;2ND EXTERNAL AC P/S 1U 2U FRAME LEITCH P-1RU-PSO;;;;1;;;;;
1;3;13;1;37,2567;30;IR EXTD CBL 56KHZ 11.9FT BLACK MULT=100;1004648;;IR EXTD CBL 56KHZ 11.9FT BLACK MULT=100;IR EXTD CBL 56KHZ 11.9FT BLACK MULT=100;IR EXTD CBL 56KHZ 11.9FT BLACK MULT=100;IR EXTD CBL 56KHZ 11.9FT BLACK MULT=100;;;;1;;;;;
1;3;13;1;661,3587;538;P2-XD-PS-ACOUT48V;1005444;;P2-XD-PS-ACOUT48V;P2-XD-PS-ACOUT48V;P2-XD-PS-ACOUT48V;P2-XD-PS-ACOUT48V;;;;1;;;;;
1;3;13;1;189,3954;154;SPLITTR RF2WAY0.25-300MHZ 75OHM BNC;1005458;;SPLITTR RF2WAY0.25-300MHZ 75OHM BNC;SPLITTR RF2WAY0.25-300MHZ 75OHM BNC;SPLITTR RF2WAY0.25-300MHZ 75OHM BNC;SPLITTR RF2WAY0.25-300MHZ 75OHM BNC;;;;1;;;;;
1;3;13;1;2266,6563;1843;PNC CABINETEQBLACK44U 77X19X30WLEV FEET;1005532;;PNC CABINETEQBLACK44U 77X19X30WLEV FEET;PNC CABINETEQBLACK44U 77X19X30WLEV FEET;PNC CABINETEQBLACK44U 77X19X30WLEV FEET;PNC CABINETEQBLACK44U 77X19X30WLEV FEET;;;;1;;;;;
1;3;13;1;1824,1884;1483;DA FRAME W/ FAN BLANK PANELS LEITCH FR6822+QXF;1005777;;DA FRAME W/ FAN BLANK PANELS LEITCH FR6822+QXF;DA FRAME W/ FAN BLANK PANELS LEITCH FR6822+QXF;DA FRAME W/ FAN BLANK PANELS LEITCH FR6822+QXF;DA FRAME W/ FAN BLANK PANELS LEITCH FR6822+QXF;;;;1;;;;;
1;3;13;1;23850,93;19391;CIS330/CIS430 NORTH AMERICAN PWR CORD;1006595;;CIS330/CIS430 NORTH AMERICAN PWR CORD;CIS330/CIS430 NORTH AMERICAN PWR CORD;CIS330/CIS430 NORTH AMERICAN PWR CORD;CIS330/CIS430 NORTH AMERICAN PWR CORD;;;;1;;;;;
1;3;13;1;18,6345;15;NR-SPARE EXT PS IPN430 STB ATT MULT=25;1006599;;NR-SPARE EXT PS IPN430 STB ATT MULT=25;NR-SPARE EXT PS IPN430 STB ATT MULT=25;NR-SPARE EXT PS IPN430 STB ATT MULT=25;NR-SPARE EXT PS IPN430 STB ATT MULT=25;;;;1;;;;;
1;3;13;1;38000,85;30895;AC LINE CORDLUMIN;1009376;;AC LINE CORDLUMIN;AC LINE CORDLUMIN;AC LINE CORDLUMIN;AC LINE CORDLUMIN;;;;1;;;;;
1;3;13;1;50509,95;41065;PLUG W/ORING PG11 BRASS NICKEL PLATE;1010260;;PLUG W/ORING PG11 BRASS NICKEL PLATE;PLUG W/ORING PG11 BRASS NICKEL PLATE;PLUG W/ORING PG11 BRASS NICKEL PLATE;PLUG W/ORING PG11 BRASS NICKEL PLATE;;;;1;;;;;
1;3;13;1;35116,5;28550;CBL GLAND POLYAMIDE PG1 1 GRAY;1010285;;CBL GLAND POLYAMIDE PG1 1 GRAY;CBL GLAND POLYAMIDE PG1 1 GRAY;CBL GLAND POLYAMIDE PG1 1 GRAY;CBL GLAND POLYAMIDE PG1 1 GRAY;;;;1;;;;;
1;3;13;1;20,1966;16;GS RF TEST PROBE CONN COAX ADPT F-CONN TO M-F;1010409;;GS RF TEST PROBE CONN COAX ADPT F-CONN TO M-F;GS RF TEST PROBE CONN COAX ADPT F-CONN TO M-F;GS RF TEST PROBE CONN COAX ADPT F-CONN TO M-F;GS RF TEST PROBE CONN COAX ADPT F-CONN TO M-F;;;;1;;;;;
