Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1597;1;9638,28;7836;CISDataCtr SNGL LicSAPk OLP C W/OSysCtrSvrLic;FUD-00374;;CISDataCtr SNGL LicSAPk OLP C W/OSysCtrSvrLic;CISDataCtr SNGL LicSAPk OLP C W/OSysCtrSvrLic;CISDataCtr SNGL LicSAPk OLP C W/OSysCtrSvrLic;CISDataCtr SNGL LicSAPk OLP C W/OSysCtrSvrLic;;;;76;;
1;3;1597;1;6884,31;5597;CISDataCtr SNGL LicSAPk OLP C woWinSvrLic;FUD-00315;;CISDataCtr SNGL LicSAPk OLP C woWinSvrLic;CISDataCtr SNGL LicSAPk OLP C woWinSvrLic;CISDataCtr SNGL LicSAPk OLP C woWinSvrLic;CISDataCtr SNGL LicSAPk OLP C woWinSvrLic;;;;76;;
1;3;1597;1;4131,57;3359;CISDataCtr SNGL SA OLP C;FUD-00255;;CISDataCtr SNGL SA OLP C;CISDataCtr SNGL SA OLP C;CISDataCtr SNGL SA OLP C;CISDataCtr SNGL SA OLP C;;;;76;;
1;3;1597;1;4131,57;3359;CISDataCtr SNGL SA OLP C W/OSysCtrSvrLic;FUD-00376;;CISDataCtr SNGL SA OLP C W/OSysCtrSvrLic;CISDataCtr SNGL SA OLP C W/OSysCtrSvrLic;CISDataCtr SNGL SA OLP C W/OSysCtrSvrLic;CISDataCtr SNGL SA OLP C W/OSysCtrSvrLic;;;;76;;
1;3;1597;1;4130,34;3358;CISDataCtr SNGL SA OLP C woWinSvrLic;FUD-00317;;CISDataCtr SNGL SA OLP C woWinSvrLic;CISDataCtr SNGL SA OLP C woWinSvrLic;CISDataCtr SNGL SA OLP C woWinSvrLic;CISDataCtr SNGL SA OLP C woWinSvrLic;;;;76;;
1;3;1597;1;4007,34;3258;CISStd SNGL LicSAPk OLP C;YJD-00196;;CISStd SNGL LicSAPk OLP C;CISStd SNGL LicSAPk OLP C;CISStd SNGL LicSAPk OLP C;CISStd SNGL LicSAPk OLP C;;;;76;;
1;3;1597;1;2997,51;2437;CISStd SNGL LicSAPk OLP C W/OSysCtrSvrLic;YJD-00427;;CISStd SNGL LicSAPk OLP C W/OSysCtrSvrLic;CISStd SNGL LicSAPk OLP C W/OSysCtrSvrLic;CISStd SNGL LicSAPk OLP C W/OSysCtrSvrLic;CISStd SNGL LicSAPk OLP C W/OSysCtrSvrLic;;;;76;;
1;3;1597;1;2346,84;1908;CISStd SNGL LicSAPk OLP C woWinSvrLic;YJD-00348;;CISStd SNGL LicSAPk OLP C woWinSvrLic;CISStd SNGL LicSAPk OLP C woWinSvrLic;CISStd SNGL LicSAPk OLP C woWinSvrLic;CISStd SNGL LicSAPk OLP C woWinSvrLic;;;;76;;
1;3;1597;1;1335,78;1086;CISStd SNGL SA OLP C;YJD-00208;;CISStd SNGL SA OLP C;CISStd SNGL SA OLP C;CISStd SNGL SA OLP C;CISStd SNGL SA OLP C;;;;76;;
1;3;1597;1;1335,78;1086;CISStd SNGL SA OLP C W/OSysCtrSvrLic;YJD-00429;;CISStd SNGL SA OLP C W/OSysCtrSvrLic;CISStd SNGL SA OLP C W/OSysCtrSvrLic;CISStd SNGL SA OLP C W/OSysCtrSvrLic;CISStd SNGL SA OLP C W/OSysCtrSvrLic;;;;76;;
